"","Tow-SpeciesID","TowID","Genus","Species","Total Number","Notes"
"100",8334,3322,"Alosa","aestivalis",1,NA
"101",8335,3323,"Alosa","pseudoharengus",8,NA
"102",8336,3324,"Alosa","pseudoharengus",3,NA
"103",8337,3324,"Alosa","mediocris",1,NA
"104",8338,3324,"Lepomis","gibbosus",1,NA
"105",8339,3324,"Dorosoma","cepedianum",1,NA
"106",8340,3325,"Alosa","pseudoharengus",3,NA
"107",8341,3325,"Alosa","aestivalis",2,NA
"108",8342,3326,"Alosa","aestivalis",1,NA
"109",8343,3326,"Alosa","pseudoharengus",1,NA
"110",8344,3327,"Alosa","aestivalis",2,NA
"111",8345,3327,"Alosa","pseudoharengus",4,NA
"112",8346,3328,"Alosa","aestivalis",2,NA
"113",8347,3329,"Alosa","aestivalis",3,NA
"114",8348,3330,"Alosa","aestivalis",20,NA
"115",8349,3330,"Alosa","pseudoharengus",7,NA
"116",8350,3330,"Dorosoma","cepedianum",3,NA
"117",8351,3330,"Ameiurus","melas",1,NA
"118",8352,3331,"Alosa","aestivalis",40,NA
"119",8353,3331,"Alosa","pseudoharengus",14,NA
"120",8354,3331,"Dorosoma","cepedianum",4,NA
"121",8355,3332,"Alosa","aestivalis",28,NA
"122",8356,3332,"Alosa","pseudoharengus",8,NA
"123",8357,3333,"Alosa","aestivalis",67,NA
"124",8358,3333,"Alosa","pseudoharengus",14,NA
"125",8359,3334,"Alosa","aestivalis",29,NA
"126",8360,3334,"Alosa","pseudoharengus",4,NA
"127",8361,3335,"Alosa","aestivalis",3,NA
"128",8362,3335,"Alosa","pseudoharengus",1,NA
"129",8363,3335,"Dorosoma","cepedianum",1,NA
"130",8364,3336,"Alosa","aestivalis",39,NA
"131",8365,3336,"Alosa","pseudoharengus",4,NA
"132",8366,3337,"Alosa","aestivalis",3,NA
"133",8367,3338,"Alosa","aestivalis",14,NA
"134",8368,3338,"Alosa","pseudoharengus",1,NA
"135",8369,3339,"Alosa","aestivalis",23,NA
"136",8370,3339,"Alosa","pseudoharengus",1,NA
"137",8374,3351,"Anguilla","rostrata",1,NA
"138",8375,3352,"Anguilla","rostrata",5,NA
"139",8376,3365,"Anguilla","rostrata",1,NA
"140",8377,3366,"Anguilla","rostrata",2,NA
"141",8378,3367,"Anguilla","rostrata",9,NA
"142",8379,3368,"Anguilla","rostrata",6,NA
"143",8380,3370,"Anguilla","rostrata",1,NA
"144",8381,3371,"Anguilla","rostrata",1,NA
"145",8382,3372,"Anguilla","rostrata",2,NA
"146",8383,3376,"Anguilla","rostrata",1,NA
"147",8384,3379,"Anguilla","rostrata",2,NA
"148",8385,3380,"Anguilla","rostrata",4,NA
"149",8386,3381,"Anguilla","rostrata",1,NA
"150",8387,3382,"Anguilla","rostrata",24,NA
"151",1,1454,"Anchoa","mitchilli",1,NA
"152",2,1454,"Mnemiopsis","leidyi",1106,NA
"153",3,1454,"Menidia","menidia",36,NA
"154",4,1454,"Chrysaora","quinquecirrha",9,NA
"155",5,1455,"Menidia","menidia",47,NA
"156",6,1455,"Chrysaora","quinquecirrha",11,NA
"157",7,1455,"Mnemiopsis","leidyi",698,NA
"158",8,1456,"Menidia","menidia",14,NA
"159",9,1456,"Pomatomus","saltatrix",5,NA
"160",10,1456,"Anchoa","mitchilli",12,NA
"161",11,1456,"Mnemiopsis","leidyi",1,NA
"162",12,1457,"Anchoa","mitchilli",2,NA
"163",13,1457,"Menidia","menidia",1,NA
"164",14,1457,"Mnemiopsis","leidyi",4,NA
"165",15,1458,"Fundulus","heteroclitus",1,NA
"166",16,1458,"Anchoa","mitchilli",29,NA
"167",17,1458,"Menidia","menidia",17,NA
"168",18,1458,"Callinectes","sapidus",1,NA
"169",19,1458,"Menticirrhus","saxatilis",1,NA
"170",20,1458,"Mnemiopsis","leidyi",195,NA
"171",21,1458,"Fundulus","majalis",2,NA
"172",22,1459,"Opsanus","tau",1,NA
"173",23,1459,"Mugil","curema",1,NA
"174",24,1459,"Mnemiopsis","leidyi",208,NA
"175",25,1459,"Menidia","menidia",6,NA
"176",26,1460,"Gobiosoma","bosc",4,NA
"177",27,1460,"Bairdiella","chrysoura",3,NA
"178",28,1460,"Menidia","menidia",54,NA
"179",29,1460,"Callinectes","sapidus",6,NA
"180",30,1460,"Anchoa","mitchilli",212,NA
"181",31,1460,"Mnemiopsis","leidyi",75,NA
"182",32,1461,"Callinectes","sapidus",3,NA
"183",33,1461,"Menidia","menidia",15,NA
"184",34,1461,"Tautoga","onitis",1,NA
"185",35,1461,"Anchoa","mitchilli",128,NA
"186",36,1461,"Mnemiopsis","leidyi",92,NA
"187",37,1461,"Gobiosoma","bosc",1,NA
"188",38,1463,"Anchoa","mitchilli",33,NA
"189",39,1463,"Menidia","menidia",63,NA
"190",40,1463,"Mugil","curema",1,NA
"191",41,1463,"Mnemiopsis","leidyi",14,NA
"192",42,1464,"Mugil","curema",1,NA
"193",43,1464,"Menidia","menidia",9,NA
"194",44,1464,"Anchoa","mitchilli",28,NA
"195",45,1464,"Mnemiopsis","leidyi",21,NA
"196",46,1465,"Mugil","curema",2,NA
"197",47,1465,"Brevoortia","tyrannus",6,NA
"198",48,1465,"Callinectes","sapidus",3,NA
"199",49,1465,"Anchoa","mitchilli",71,NA
"200",50,1465,"Menidia","menidia",24,NA
"201",51,1465,"Mnemiopsis","leidyi",1460,NA
"202",52,1466,"Anchoa","hepsetus",1,NA
"203",53,1466,"Brevoortia","tyrannus",17,NA
"204",54,1466,"Menidia","menidia",14,NA
"205",55,1466,"Mnemiopsis","leidyi",907,NA
"206",56,1467,"Menidia","menidia",27,NA
"207",57,1467,"Mnemiopsis","leidyi",100,NA
"208",58,1467,"Callinectes","sapidus",1,NA
"209",59,1468,"Menidia","menidia",13,NA
"210",60,1468,"Anchoa","mitchilli",2,NA
"211",61,1468,"Mnemiopsis","leidyi",63,NA
"212",62,1469,"Menidia","menidia",129,NA
"213",63,1469,"Pomatomus","saltatrix",3,NA
"214",64,1469,"Mugil","curema",1,NA
"215",65,1469,"Chrysaora","quinquecirrha",680,NA
"216",66,1470,"Menidia","menidia",27,NA
"217",67,1470,"Chrysaora","quinquecirrha",282,NA
"218",68,1470,"Pomatomus","saltatrix",1,NA
"219",69,1470,"Peprilus","triacanthus",1,NA
"220",70,1470,"Mnemiopsis","leidyi",2,NA
"221",71,1471,"Pomatomus","saltatrix",1,NA
"222",72,1471,"Menidia","menidia",13,NA
"223",73,1471,"Mnemiopsis","leidyi",168,NA
"224",74,1472,"Menidia","menidia",104,NA
"225",75,1472,"Anchoa","mitchilli",1,NA
"226",76,1472,"Mnemiopsis","leidyi",99,NA
"227",77,1472,"Callinectes","sapidus",1,NA
"228",78,1473,"Trinectes","maculatus",1,NA
"229",79,1473,"Menidia","menidia",8,NA
"230",80,1473,"Mnemiopsis","leidyi",1,NA
"231",81,1473,"Callinectes","sapidus",1,NA
"232",82,1474,"Menidia","menidia",15,NA
"233",83,1474,"Fundulus","heteroclitus",1,NA
"234",84,1474,"Mnemiopsis","leidyi",1,NA
"235",85,1474,"Callinectes","sapidus",1,NA
"236",86,1475,"Mnemiopsis","leidyi",2,NA
"237",87,1475,"Menidia","menidia",33,NA
"238",88,1476,"Mnemiopsis","leidyi",1,NA
"239",89,1476,"Brevoortia","tyrannus",1,NA
"240",90,1477,"Menidia","menidia",20,NA
"241",91,1477,"Callinectes","sapidus",14,NA
"242",92,1477,"Syngnathus","fuscus",2,NA
"243",93,1477,"Gobiosoma","bosc",1,NA
"244",94,1477,"Anchoa","mitchilli",4,NA
"245",95,1477,"Chasmodes","bosquianus",1,NA
"246",96,1477,"Mnemiopsis","leidyi",1,NA
"247",97,1478,"Menidia","menidia",27,NA
"248",98,1478,"Callinectes","sapidus",3,NA
"249",99,1478,"Syngnathus","fuscus",1,NA
"250",100,1478,"Mnemiopsis","leidyi",2,NA
"251",101,1478,"Anchoa","hepsetus",1,NA
"252",102,1478,"Opsanus","tau",1,NA
"253",103,1478,"Gobiosoma","bosc",1,NA
"254",104,1479,"Menidia","menidia",60,NA
"255",105,1479,"Mnemiopsis","leidyi",81,NA
"256",106,1479,"Callinectes","sapidus",1,NA
"257",107,1480,"Menidia","menidia",41,NA
"258",108,1480,"Mnemiopsis","leidyi",72,NA
"259",109,1480,"Gobiosoma","bosc",1,NA
"260",110,1481,"Mnemiopsis","leidyi",137,NA
"261",111,1481,"Menidia","menidia",6,NA
"262",112,1481,"Anchoa","mitchilli",3,NA
"263",113,1481,"Chrysaora","quinquecirrha",1,NA
"264",114,1482,"Mnemiopsis","leidyi",97,NA
"265",115,1482,"Menidia","menidia",20,NA
"266",116,1482,"Anchoa","mitchilli",8,NA
"267",117,1483,"Menidia","menidia",63,NA
"268",118,1483,"Mnemiopsis","leidyi",127,NA
"269",119,1483,"Callinectes","sapidus",1,NA
"270",120,1483,"Anchoa","mitchilli",64,NA
"271",121,1484,"Menidia","menidia",27,NA
"272",122,1484,"Mnemiopsis","leidyi",78,NA
"273",123,1484,"Anchoa","mitchilli",98,NA
"274",124,1484,"Callinectes","sapidus",2,NA
"275",125,1485,"Menidia","menidia",7,NA
"276",126,1485,"Mnemiopsis","leidyi",49,NA
"277",127,1486,"Menidia","menidia",18,NA
"278",128,1486,"Mnemiopsis","leidyi",44,NA
"279",129,1486,"Anchoa","mitchilli",4,NA
"280",130,1068,"Anguilla","rostrata",1,NA
"281",131,1072,"Anguilla","rostrata",1,NA
"282",132,1515,"Anguilla","rostrata",1,NA
"283",133,1533,"Anguilla","rostrata",2,NA
"284",134,1534,"Anguilla","rostrata",8,NA
"285",135,1535,"Anguilla","rostrata",16,NA
"286",136,1544,"Anguilla","rostrata",4,NA
"287",137,1544,"Umbra","limi",1,NA
"288",138,1546,"Anguilla","rostrata",18,NA
"289",139,1547,"Anguilla","rostrata",2,NA
"290",140,1548,"Anguilla","rostrata",2,NA
"291",141,1549,"Anguilla","rostrata",7,NA
"292",142,1550,"Anguilla","rostrata",16,NA
"293",143,1,"Menidia","menidia",1,NA
"294",144,1,"Sphoeroides","maculatus",27,NA
"295",145,1,"Callinectes","sapidus",7,NA
"296",146,1,"Pseudopleuronectes","americanus",1,NA
"297",147,2,"Chrysaora","quinquecirrha",2,NA
"298",148,2,"Pseudopleuronectes","americanus",1,NA
"299",149,2,"Menidia","menidia",2,NA
"300",150,2,"Pomatomus","saltatrix",2,NA
"301",151,2,"Sphoeroides","maculatus",7,NA
"302",152,2,"Callinectes","sapidus",1,NA
"303",153,3,"Syngnathus","fuscus",4,NA
"304",154,3,"Callinectes","sapidus",26,NA
"305",155,3,"Sphoeroides","maculatus",47,NA
"306",156,3,"Paralichthys","dentatus",28,NA
"307",157,3,"Chrysaora","quinquecirrha",14,NA
"308",158,3,"Pseudopleuronectes","americanus",1,NA
"309",159,4,"Sphoeroides","maculatus",53,NA
"310",160,4,"Paralichthys","dentatus",7,NA
"311",161,4,"Callinectes","sapidus",5,NA
"312",162,4,"Menidia","menidia",10,NA
"313",163,4,"Strongylura","marina",1,NA
"314",164,4,"Chrysaora","quinquecirrha",5,NA
"315",165,4,"Pseudopleuronectes","americanus",2,NA
"316",166,5,"Callinectes","sapidus",7,NA
"317",167,5,"Chrysaora","quinquecirrha",1,NA
"318",168,5,"Pomatomus","saltatrix",1,NA
"319",169,6,"Callinectes","sapidus",69,NA
"320",170,7,"Chrysaora","quinquecirrha",16,NA
"321",171,7,"Gasterosteus","aculeatus",1,NA
"322",172,7,"Menticirrhus","saxatilis",2,NA
"323",173,7,"Pomatomus","saltatrix",1,NA
"324",174,7,"Sphoeroides","maculatus",15,NA
"325",175,7,"Callinectes","sapidus",2,NA
"326",176,7,"Menidia","menidia",2,NA
"327",177,8,"Syngnathus","fuscus",1,NA
"328",178,8,"Chrysaora","quinquecirrha",3,NA
"329",179,8,"Menidia","menidia",65,NA
"330",180,8,"Pseudopleuronectes","americanus",1,NA
"331",181,8,"Strongylura","marina",1,NA
"332",182,9,"Callinectes","sapidus",1,NA
"333",183,9,"Chrysaora","quinquecirrha",1,NA
"334",184,10,"Chrysaora","quinquecirrha",1,NA
"335",185,10,"Sphoeroides","maculatus",5,NA
"336",186,10,"Menidia","menidia",9,NA
"337",187,11,"Callinectes","sapidus",13,NA
"338",188,12,"Callinectes","sapidus",80,NA
"339",189,13,"Chrysaora","quinquecirrha",17,NA
"340",190,13,"Callinectes","sapidus",27,NA
"341",191,13,"Anguilla","rostrata",1,NA
"342",192,13,"Pomatomus","saltatrix",9,NA
"343",193,13,"Menidia","menidia",4,NA
"344",194,14,"Callinectes","sapidus",29,NA
"345",195,14,"Chrysaora","quinquecirrha",18,NA
"346",196,14,"Menidia","menidia",54,NA
"347",197,14,"Pomatomus","saltatrix",11,NA
"348",198,14,"Fundulus","majalis",2,NA
"349",199,15,"Callinectes","sapidus",69,NA
"350",200,15,"Chrysaora","quinquecirrha",5,NA
"351",201,15,"Paralichthys","dentatus",9,NA
"352",202,15,"Pomatomus","saltatrix",3,NA
"353",203,16,"Callinectes","sapidus",1,NA
"354",204,16,"Menidia","menidia",9,NA
"355",205,16,"Strongylura","marina",1,NA
"356",206,17,"Callinectes","sapidus",5,NA
"357",207,17,"Sphoeroides","maculatus",1,NA
"358",208,17,"Menidia","menidia",25,NA
"359",209,17,"Pseudopleuronectes","americanus",4,NA
"360",210,17,"Strongylura","marina",1,NA
"361",211,18,"Callinectes","sapidus",30,NA
"362",212,18,"Pseudopleuronectes","americanus",15,NA
"363",213,18,"Menidia","menidia",45,NA
"364",214,18,"Pomatomus","saltatrix",1,NA
"365",215,18,"Fundulus","heteroclitus",2,NA
"366",216,18,"Brevoortia","tyrannus",1,NA
"367",217,19,"Pseudopleuronectes","americanus",6,NA
"368",218,19,"Pomatomus","saltatrix",1,NA
"369",219,19,"Menidia","menidia",11,NA
"370",220,19,"Fundulus","heteroclitus",2,NA
"371",221,19,"Callinectes","sapidus",4,NA
"372",222,21,"Pseudopleuronectes","americanus",1,NA
"373",223,21,"Callinectes","sapidus",6,NA
"374",224,21,"Chrysaora","quinquecirrha",41,NA
"375",225,21,"Pomatomus","saltatrix",15,NA
"376",226,21,"Menidia","menidia",5,NA
"377",227,21,"Sphoeroides","maculatus",1,NA
"378",228,21,"Alosa","aestivalis",1,NA
"379",229,22,"Chrysaora","quinquecirrha",53,NA
"380",230,22,"Menidia","menidia",10,NA
"381",231,22,"Pomatomus","saltatrix",13,NA
"382",232,22,"Callinectes","sapidus",3,NA
"383",233,22,"Alosa","aestivalis",1,NA
"384",234,23,"Chrysaora","quinquecirrha",71,NA
"385",235,23,"Callinectes","sapidus",101,NA
"386",236,23,"Paralichthys","dentatus",9,NA
"387",237,23,"Sphoeroides","maculatus",1,NA
"388",238,23,"Pomatomus","saltatrix",17,NA
"389",239,23,"Menidia","menidia",1,NA
"390",240,24,"Chrysaora","quinquecirrha",44,NA
"391",241,24,"Anguilla","rostrata",2,NA
"392",242,24,"Sphoeroides","maculatus",1,NA
"393",243,24,"Pomatomus","saltatrix",23,NA
"394",244,24,"Callinectes","sapidus",95,NA
"395",245,24,"Menidia","menidia",6,NA
"396",246,24,"Syngnathus","fuscus",1,NA
"397",247,24,"Paralichthys","dentatus",10,NA
"398",248,24,"Fundulus","majalis",1,NA
"399",249,25,"Callinectes","sapidus",134,NA
"400",250,25,"Chrysaora","quinquecirrha",25,NA
"401",251,25,"Pseudopleuronectes","americanus",3,NA
"402",252,25,"Paralichthys","dentatus",2,NA
"403",253,25,"Pomatomus","saltatrix",26,NA
"404",254,25,"Menidia","menidia",4,NA
"405",255,25,"Strongylura","marina",1,NA
"406",256,26,"Callinectes","sapidus",60,NA
"407",257,26,"Chrysaora","quinquecirrha",19,NA
"408",258,26,"Pomatomus","saltatrix",25,NA
"409",259,26,"Menidia","menidia",4,NA
"410",260,26,"Paralichthys","dentatus",1,NA
"411",261,26,"Strongylura","marina",1,NA
"412",262,26,"Sphoeroides","maculatus",1,NA
"413",263,27,"Callinectes","sapidus",78,NA
"414",264,27,"Chrysaora","quinquecirrha",21,NA
"415",265,27,"Unidentified",NA,1,NA
"416",266,27,"Paralichthys","dentatus",3,NA
"417",267,27,"Pomatomus","saltatrix",1,NA
"418",268,27,"Menidia","menidia",19,NA
"419",269,27,"Morone","saxatilis",1,NA
"420",270,27,"Sphoeroides","maculatus",1,NA
"421",271,28,"Callinectes","sapidus",7,NA
"422",272,28,"Chrysaora","quinquecirrha",58,NA
"423",273,28,"Menidia","menidia",5,NA
"424",274,28,"Pomatomus","saltatrix",4,NA
"425",275,29,"Callinectes","sapidus",113,NA
"426",276,29,"Brevoortia","tyrannus",1,NA
"427",277,30,"Callinectes","sapidus",23,NA
"428",278,30,"Chrysaora","quinquecirrha",17,NA
"429",279,31,"Chrysaora","quinquecirrha",63,NA
"430",280,31,"Menidia","menidia",32,NA
"431",281,31,"Strongylura","marina",2,NA
"432",282,31,"Pomatomus","saltatrix",2,NA
"433",283,31,"Menticirrhus","saxatilis",1,NA
"434",284,32,"Chrysaora","quinquecirrha",73,NA
"435",285,32,"Menidia","menidia",23,NA
"436",286,32,"Pomatomus","saltatrix",5,NA
"437",287,32,"Callinectes","sapidus",1,NA
"438",288,33,"Menidia","menidia",121,NA
"439",289,33,"Syngnathus","fuscus",2,NA
"440",290,33,"Chrysaora","quinquecirrha",61,NA
"441",291,33,"Callinectes","sapidus",2,NA
"442",292,33,"Strongylura","marina",1,NA
"443",293,33,"Sphoeroides","maculatus",2,NA
"444",294,34,"Menidia","menidia",65,NA
"445",295,34,"Pomatomus","saltatrix",2,NA
"446",296,34,"Callinectes","sapidus",2,NA
"447",297,34,"Chrysaora","quinquecirrha",64,NA
"448",298,34,"Synodus","foetens",1,NA
"449",299,27,"Anguilla","rostrata",1,NA
"450",300,35,"Callinectes","sapidus",14,NA
"451",301,35,"Chrysaora","quinquecirrha",3,NA
"452",302,36,"Callinectes","sapidus",9,NA
"453",303,36,"Chrysaora","quinquecirrha",4,NA
"454",304,37,"Callinectes","sapidus",159,NA
"455",305,37,"Mugil","curema",5,NA
"456",306,37,"Chrysaora","quinquecirrha",50,NA
"457",307,37,"Menidia","menidia",4,NA
"458",308,37,"Pseudopleuronectes","americanus",3,NA
"459",309,37,"Pomatomus","saltatrix",7,NA
"460",310,37,"Anguilla","rostrata",1,NA
"461",311,37,"Sphoeroides","maculatus",1,NA
"462",312,37,"Brevoortia","tyrannus",1,NA
"463",313,38,"Callinectes","sapidus",69,NA
"464",314,38,"Chrysaora","quinquecirrha",51,NA
"465",315,38,"Sphoeroides","maculatus",1,NA
"466",316,38,"Morone","americana",1,NA
"467",317,38,"Pomatomus","saltatrix",2,NA
"468",318,38,"Menidia","menidia",2,NA
"469",319,38,"Morone","saxatilis",1,NA
"470",320,39,"Callinectes","sapidus",63,NA
"471",321,39,"Chrysaora","quinquecirrha",65,NA
"472",322,39,"Menidia","menidia",21,NA
"473",323,39,"Alosa","sp.",1,NA
"474",324,40,"Callinectes","sapidus",67,NA
"475",325,40,"Sphoeroides","maculatus",1,NA
"476",326,40,"Chrysaora","quinquecirrha",55,NA
"477",327,40,"Menidia","menidia",8,NA
"478",328,40,"Fundulus","majalis",1,NA
"479",329,40,"Pomatomus","saltatrix",1,NA
"480",330,41,"Callinectes","sapidus",68,NA
"481",331,42,"Syngnathus","fuscus",2,NA
"482",332,42,"Callinectes","sapidus",2,NA
"483",333,42,"Menticirrhus","saxatilis",3,NA
"484",334,42,"Pomatomus","saltatrix",7,NA
"485",335,42,"Menidia","menidia",81,NA
"486",336,42,"Strongylura","marina",1,NA
"487",337,42,"Chrysaora","quinquecirrha",2,NA
"488",338,52,"Syngnathus","fuscus",1,NA
"489",339,52,"Menidia","menidia",19,NA
"490",340,52,"Strongylura","marina",3,NA
"491",341,52,"Pomatomus","saltatrix",1,NA
"492",342,52,"Apeltes","quadracus",2,NA
"493",343,52,"Sphoeroides","maculatus",1,NA
"494",344,52,"Chrysaora","quinquecirrha",3,NA
"495",345,53,"Chrysaora","quinquecirrha",1,NA
"496",346,53,"Callinectes","sapidus",1,NA
"497",347,53,"Menidia","menidia",102,NA
"498",348,53,"Strongylura","marina",2,NA
"499",349,54,"Menidia","menidia",48,NA
"500",350,54,"Strongylura","marina",2,NA
"501",351,54,"Fundulus","heteroclitus",1,NA
"502",352,54,"Callinectes","sapidus",1,NA
"503",353,55,"Callinectes","sapidus",2,NA
"504",354,56,"Callinectes","sapidus",11,NA
"505",355,56,"Syngnathus","fuscus",1,NA
"506",356,57,"Callinectes","sapidus",30,NA
"507",357,57,"Menidia","menidia",101,NA
"508",358,57,"Chrysaora","quinquecirrha",144,NA
"509",359,57,"Pomatomus","saltatrix",7,NA
"510",360,57,"Strongylura","marina",8,NA
"511",361,57,"Peprilus","triacanthus",1,NA
"512",362,58,"Strongylura","marina",1,NA
"513",363,58,"Callinectes","sapidus",22,NA
"514",364,58,"Menidia","menidia",5,NA
"515",365,58,"Pomatomus","saltatrix",4,NA
"516",366,58,"Chrysaora","quinquecirrha",148,NA
"517",367,59,"Chrysaora","quinquecirrha",161,NA
"518",368,59,"Menidia","menidia",58,NA
"519",369,59,"Callinectes","sapidus",13,NA
"520",370,60,"Chrysaora","quinquecirrha",163,NA
"521",371,60,"Callinectes","sapidus",12,NA
"522",372,60,"Strongylura","marina",1,NA
"523",373,90,"Callinectes","sapidus",31,NA
"524",374,60,"Menidia","menidia",10,NA
"525",375,60,"Pomatomus","saltatrix",2,NA
"526",376,61,"Callinectes","sapidus",52,NA
"527",377,62,"Chrysaora","quinquecirrha",32,NA
"528",378,62,"Callinectes","sapidus",1,NA
"529",379,62,"Strongylura","marina",2,NA
"530",380,62,"Pomatomus","saltatrix",1,NA
"531",381,62,"Menidia","menidia",2,NA
"532",382,63,"Chrysaora","quinquecirrha",26,NA
"533",383,63,"Pomatomus","saltatrix",1,NA
"534",384,63,"Strongylura","marina",2,NA
"535",385,64,"Menidia","menidia",50,NA
"536",386,64,"Chrysaora","quinquecirrha",9,NA
"537",387,64,"Strongylura","marina",1,NA
"538",388,64,"Trachinotus","falcatus",1,NA
"539",389,65,"Chrysaora","quinquecirrha",23,NA
"540",390,65,"Callinectes","sapidus",1,NA
"541",391,65,"Menidia","menidia",8,NA
"542",392,66,"Callinectes","sapidus",10,NA
"543",393,67,"Callinectes","sapidus",12,NA
"544",394,67,"Pseudopleuronectes","americanus",1,NA
"545",395,68,"Callinectes","sapidus",21,NA
"546",396,68,"Menidia","menidia",64,NA
